[2023-01-13 10:31:38,178: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:31:39,225: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:31:40,259: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:31:41,337: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:31:42,386: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:31:43,464: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:31:44,503: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:31:45,565: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:31:46,604: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:31:47,650: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:31:48,685: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:31:49,778: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:31:50,816: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:31:51,878: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:31:52,913: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:31:53,959: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:31:55,040: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:31:56,102: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:31:57,172: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:31:58,219: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:31:59,241: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:32:00,288: WARNING] Устройство с адресом 1 недоступно
[2023-01-13 10:32:01,338: WARNING] Повторное чтение данных устройства с адресом 1
[2023-01-13 10:32:02,432: WARNING] Устройство с адресом 1 недоступно
